CountryName,CountryCode,RegionName,RegionCode,Jurisdiction,Date,C1_School closing,C1_Flag,C2_Workplace closing,C2_Flag,C3_Cancel public events,C3_Flag,C4_Restrictions on gatherings,C4_Flag,C5_Close public transport,C5_Flag,C6_Stay at home requirements,C6_Flag,C7_Restrictions on internal movement,C7_Flag,C8_International travel controls,E1_Income support,E1_Flag,E2_Debt/contract relief,E3_Fiscal measures,E4_International support,H1_Public information campaigns,H1_Flag,H2_Testing policy,H3_Contact tracing,H4_Emergency investment in healthcare,H5_Investment in vaccines,H6_Facial Coverings,H6_Flag,H7_Vaccination policy,H7_Flag,M1_Wildcard,ConfirmedCases,ConfirmedDeaths,StringencyIndex,StringencyIndexForDisplay,StringencyLegacyIndex,StringencyLegacyIndexForDisplay,GovernmentResponseIndex,GovernmentResponseIndexForDisplay,ContainmentHealthIndex,ContainmentHealthIndexForDisplay,EconomicSupportIndex,EconomicSupportIndexForDisplay,Flag,Latest Date?
Dominican Republic,DOM,,,NAT_TOTAL,20210103,3,1,2,1,2,1,3,1,1,1,2,1,0,,1,1,1,0,0,0,2,1,2,1,0,,3,1,0,,,173331,2418,64.81,64.81,77.38,77.38,55,55,59.62,59.62,25,25,FALSE,20210103
Algeria,DZA,,,NAT_TOTAL,20201231,1,1,2,1,1,1,4,1,2,0,2,0,2,0,4,0,,2,0,0,2,1,1,2,0,0,3,1,0,,,99610,2756,72.22,72.22,79.76,79.76,63.89,63.89,66.03,66.03,50,50,FALSE,20201231
Ecuador,ECU,,,NAT_TOTAL,20210104,3,0,2,1,2,1,4,1,1,1,2,1,1,1,1,1,1,2,0,0,2,1,2,1,0,0,3,1,0,,,215080,14069,71.3,71.3,73.81,73.81,65.56,65.56,64.1,64.1,75,75,FALSE,20210104
Egypt,EGY,,,NAT_TOTAL,20210102,2,1,2,1,2,1,4,1,0,,1,1,2,1,1,1,1,2,0,0,2,1,2,2,0,0,3,1,0,,,140878,7741,65.74,65.74,67.86,67.86,65.56,65.56,64.1,64.1,75,75,FALSE,20210102
Eritrea,ERI,,,NAT_TOTAL,20210104,2,1,2,1,2,1,3,1,2,1,2,1,2,1,4,0,,2,0,0,2,1,3,1,0,0,2,1,0,,,1252,1,86.11,86.11,92.86,92.86,71.67,71.67,75,75,50,50,FALSE,20210104
Spain,ESP,,,NAT_TOTAL,20210103,1,1,2,1,2,1,4,1,0,,2,1,2,1,3,2,0,2,0,0,2,1,2,2,0,0,4,1,1,1,,1928265,50837,71.3,71.3,71.43,71.43,73.56,73.56,71.41,71.41,87.5,87.5,FALSE,20210103
Estonia,EST,,,NAT_TOTAL,20210101,3,1,2,0,2,0,4,1,0,,0,,0,,3,0,,2,0,0,2,1,2,1,0,0,2,1,1,1,,28406,234,55.56,55.56,60.71,60.71,52.44,52.44,52.82,52.82,50,50,FALSE,20210101
Ethiopia,ETH,,,NAT_TOTAL,20210102,1,1,1,1,1,1,3,1,1,1,0,,2,0,2,0,,0,0,0,2,1,1,2,0,0,3,1,0,,,125049,1944,51.85,51.85,66.19,66.19,45,45,51.92,51.92,0,0,FALSE,20210102
Finland,FIN,,,NAT_TOTAL,20210108,2,0,2,0,2,0,4,0,0,,1,1,0,,3,2,1,1,0,0,2,1,2,1,0,0,1,1,2,1,,,,52.31,52.31,57.86,57.86,53.5,53.5,50.19,50.19,75,75,FALSE,20210108
Fiji,FJI,,,NAT_TOTAL,20210104,0,,2,1,1,1,2,1,0,,1,1,0,,3,1,1,2,0,0,2,1,3,2,0,0,2,1,0,,,49,2,41.67,41.67,52.38,52.38,51.67,51.67,48.08,48.08,75,75,FALSE,20210104
France,FRA,,,NAT_TOTAL,20210108,2,1,2,1,2,1,4,1,0,,2,1,0,,3,2,1,0,0,0,2,1,3,2,0,0,4,0,2,1,,,,63.89,63.89,71.43,71.43,66.83,66.83,69.42,69.42,50,50,FALSE,20210108
